,date,id,tweet_text
0,2020-10-05,1312939206486958082,since late summer n dakota dakota added cases per capita state wisconsin set r
1,2020-10-05,1312939625112055809,white house immediately provide information precautions taken protect secret service memb
2,2020-10-05,1312941193890869251,whca whca president trumps decision today outrageous president left hospital even briefly amid
3,2020-10-05,1312941210496098304,whca ever american public deserves independent coverage president reliably informed hi
4,2020-10-05,1312942859889397760,ashleyrparker attending physician walter reed weighs
5,2020-10-05,1313198147875803138,president phenomenal patient absolutely ridiculous
6,2020-10-05,1313201796026957825,insistence saying president last tested negative sometimes avoid questions dodg
7,2020-10-05,1313213535262998528,follow rules quarantined around anyone including kamala harris dr
8,2020-10-05,1313220809088020483,joe biden glad see president speaking recording videos weekend busy twee
9,2020-10-05,1313225469765054465,would prudent president wearing mask limiting contact much possible make sure
10,2020-10-05,1313229905052790787,decision fly jake reckless one says new jersey gov phil murphy president trumps decision
11,2020-10-05,1313231105257082882,wh doctor refuses answer basic questions trumps health drsanjaygupta reports
12,2020-10-05,1313231675661471744,doctor sen kamala harris go room pence quarantining drjeannem
13,2020-10-05,1313231977126952963,trump released hospital physician refuses answer key questions kaitlancollins reports
14,2020-10-05,1313232175525920774,carolleonnig two veteran doctors treated covid patients told would fired letting older covid patient take
15,2020-10-05,1313232447329402881,dr gupta trumps message fear covid  dead americans disrespectful gross
16,2020-10-05,1313232579571707904,isaacdovere vice presidents staff continues make fun covid precautions
17,2020-10-05,1313232928789463041,new poll rds americans say trump acted irresponsibly infection distrust white house
18,2020-10-05,1313233291378647040,nyc close schools businesses new hot spot area nickwattcnn reports
19,2020-10-05,1313233385968541697,politics factor decision release trump hospital niacnn seungminkim davidchalian di
20,2020-10-05,1313241581714014209,president trump march said lot time meet dr anthony fauci coronavirus pand
21,2020-10-05,1313249209915781122,president trump leaves walter reed return white house access constant medical care afte
22,2020-10-05,1313252355522134016,white house decided trace contacts attendees event  days ago judge barre
23,2020-10-05,1313264880632377346,mitchellreports realdonaldtrump returns white house immediately takes mask words
24,2020-10-06,1313325886171561986,craigaspencer followed public health guidance infected one unnecessarily exposed numerous people last
25,2020-10-06,1313325954236911616,craigaspencer told us afraid covid right cases rise across country yet teachers
26,2020-10-06,1313325961480482816,craigaspencer let dominate life said k americans died held hands called families ov
27,2020-10-06,1313326239088865284,pbump remember ballots found river happen military ballots trash fraud trump h
28,2020-10-06,1313326526218330112,maddowblog taking bullet assassin something quite different taking viral bullet expe
29,2020-10-06,1313326816837480448,maddowblog th amendment provides legal basis see donald trump continuing resist even ment
30,2020-10-06,1313331262720012288,jacksonleetx masks save lives
31,2020-10-06,1313482012272062471,ddale trump campaign spokesman hogan gidley claimed fox trump alone balcony outside maskless
32,2020-10-06,1313530989168267264,jenniferjjacobs news one presidents military aides coast guard aide jayna mccarron coronavirus sources tell
33,2020-10-06,1313530995073835008,jenniferjjacobs military aides handle phone calls president advance trips link white house
34,2020-10-06,1313538417100312576,many white house staff learned positive tests media reports several exposed without th
35,2020-10-06,1313538846395641857,took  days trumps diagnosis white house send staffwide note even
36,2020-10-06,1313539566008139776,months white house cleaning staff privately voiced concerns safety including lack access
37,2020-10-06,1313540464184881153,insane would return white house jeopardize staffs health still learning
38,2020-10-06,1313541846375829504,beschlossdc president woodrow wilson publicly tried pretend  influenza pandemic killed  americans
39,2020-10-06,1313543986133467141,peteralexander new given us masks one wh official tells joshnbcnews precau
40,2020-10-06,1313545172572086274,nbcnews breaking chairman joint chiefs staff gen mark milley least  members member joint chiefs
41,2020-10-06,1313545498113048578,travistritten pic maskless gold star families event wh sept  army sec ryan mccarthy air force sec barbara barret
42,2020-10-06,1313545505637568513,travistritten photos wh crowd show gen berger marine commandant gen raymond space force chief illustration
44,2020-10-06,1313547382676692992,line dropoff box
45,2020-10-06,1313550155031941124,watch one barr assigned bash investigate obama admin supposed unmasking scandal officials looki
46,2020-10-06,1313552581344493568,garretthaake breaking president pulled plug covid relief negotiations election
47,2020-10-06,1313561949905522690,poll  percent voters want senate take covid relief scotus nominee
48,2020-10-06,1313562062325415942,jsteinwapo key consequence stimulus talks falling close  million jobless ppl permanently see income cut
49,2020-10-06,1313572122946568199,wish could say I surprised says dr rochelle walensky white houses refusal accept help
50,2020-10-06,1313576164699582464,clearly concern foreign adversaries might try take advantage preoccupa
51,2020-10-06,1313587067109113865,believe law order I never supported defunding police also believe injustice real says
52,2020-10-06,1313587314103406596,pandemic red state blue state issue affects us take anyones life virus
53,2020-10-06,1313591651005272064,trump doc says president trump claims symptoms continues share little info peterhotez discusses
54,2020-10-06,1313592193030946818,fmr cia director brennan dni made selective declassification handwritten notes johnbrennan discusses
55,2020-10-06,1313592472136757254,seven months ago today trump said anybody wants test get test still true jaketapper repor
56,2020-10-06,1313592611454750720,president trump suggests yous learn live coronavirus despite  americans dying per day
57,2020-10-06,1313593017681543168,stocks fall trump tweets ending stimulus talks alisonkosik reports
58,2020-10-06,1313593064724848640,trump may record video message amid chaotic atmosphere whturnedvirushotzone kaitlancollins reports
59,2020-10-06,1313593548021919746,safe sen harris stage vp pence darakass discusses
60,2020-10-06,1313593595744727040,though vp refused isolate instructed pence team objects plexiglass barrier debate ryanobles r
61,2020-10-06,1313594057357221889,speech unity biden invokes return normalcy jessicadean reports
62,2020-10-06,1313594470902968321,states push efforts meet voter demand create burdens  days election day
63,2020-10-06,1313594686142058498,pray people affected trumps policies trump spared consequences
64,2020-10-06,1313594715602911233,oneunderscore breaking facebook bans qanon across platforms facebook remove facebook pages groups instagram account
65,2020-10-06,1313594757952819204,oneunderscore facebooks qanon ban sweeping content moderation step I seen social media company far thi
66,2020-10-06,1313594771328425987,clear president mitch mcconnell put protecting american people priority
67,2020-10-06,1313594773983371266,oneunderscore qanon treated like militias terror groups tied realworld violence repeate
68,2020-10-06,1313594798566240256,oneunderscore facebook previously banned qanon followers referenced conspiracy theorys endgame purge mass execut
69,2020-10-06,1313595303740702721,aoc antieverybody agenda looks like president gop walking away getting covid stimulus relief done effec
70,2020-10-06,1313603897114726412,days people trumps orbit tested positive coronavirus taiwan home m p
71,2020-10-06,1313617915510480896,susan rice white house declining offers cdc help contact tracing mind boggling
72,2020-10-06,1313622309815693312,big problem potentially grave security problem well rep adam schiff says president trumps h
73,2020-10-06,1313623825012199424,michigan gov gretchen whitmer says worries presidents covid comments going give lot
74,2020-10-07,1313658319819747328,genmhayden believe
75,2020-10-07,1313658393874305026,maddowblog white house staff members wondered whether mr trumps behavior spurred cocktail drugs taking
76,2020-10-07,1313662542066188288,nancook trump tested every day covid still know last negative test via maggienyt anniekarni
77,2020-10-07,1313668172189495296,shearm breaking need take away children damning internal investigation concludes top justice dept officials
78,2020-10-07,1313682228501712898,billkristol bit reversal since afternoon eh signing whole house bill noon tomorrow
79,2020-10-07,1313692951835561984,bobwachter well goal maddow msnbc rattle rachel asked possibility trumps decisi
80,2020-10-07,1313695788992733187,nytimesworld confusion delirium memory loss kinds altered mental function afflicted nearly third hospitalized coro
81,2020-10-07,1313836802462167040,lot things going news right know read story earth happening
82,2020-10-07,1313875613707644931,focus group republican women swing states previously voted trump none favored id
83,2020-10-07,1313903335318188033,six states arkansas montana north dakota south dakota wisconsin wyoming set records coronavirusre
84,2020-10-07,1313903392264257536,kendilaniannbc white house staffers still wearing masks per pool photo
85,2020-10-07,1313905520886112259,wisconsin opens field hospital state fairgrounds governor evers hoped day would come wiscons
86,2020-10-07,1313907272087728131,discussion ucsfs dr robert wachter kept night last night
87,2020-10-07,1313911645912133635,comes donald trumps efforts keep financial records hidden hard notice pattern
88,2020-10-07,1313926576069922817,president trump oval office briefed stimulus talks hurricane delta according
89,2020-10-07,1313927033672601606,oneunderscore president tweeting twoandahalfyearold videos spooky music user named amerikangirlll askin
90,2020-10-07,1313928288780288000,ooof weird worrying  trump presidential candidate noncredible clow
91,2020-10-07,1313929324395888643,jaketapper white house officials believe potus infected event judge barrett saturday sept  say wh
92,2020-10-07,1313930332274667521,two dc staffers gop rep doug lamborns office tested positive recent days according source famil
93,2020-10-07,1313932747887566848,early voting underway us president trump continues sow doubt election security
94,2020-10-07,1313935553025445890,cnns drsanjaygupta says president trump oval office right isolation
95,2020-10-07,1313936879486730240,kyledcheney new trump hour twitter frenzy calling justice department arrestjail political enemies
96,2020-10-07,1313936963821600768,erinbanco break white house warned attendees gold star family event sept  may exposed covid
97,2020-10-07,1313937072349237255,schoofsfeed put reporters needless risk getting deadly disease neither anyone else
98,2020-10-07,1313944021237104651,distance great plexiglass great would really like someone public health front
99,2020-10-07,1313956170181246982,martynmcl excl woody johnson billionaire us ambassador uk spent  golf dinner single day duri
100,2020-10-07,1313956597060771847,doctor trump recovery I never seen patient get well fast msaagmd discusses
101,2020-10-07,1313956975030538243,knowing trump last tested negative critical jaketapper reports
102,2020-10-07,1313957345337184256,president trump returns oval office despite likely still infectious kaitlancollins reports
103,2020-10-07,1313958276288122880,cdc directors bizarre letter big story even underlying concern pence
104,2020-10-07,1313958677020397569,gupta trump isolating oval office drsanjaygupta reports
105,2020-10-07,1313959972846399503,bidenharris advisors punt questions vp debate safety debate commission kyunglahcnn reports
106,2020-10-07,1313960682212261888,trump returns oval office despite infection briefed stimulus hurricane bakarisellers scottjenningsky
107,2020-10-07,1313961145607294982,warnings pandemic getting even worse fall months may reality ericarhill reports
108,2020-10-07,1313961800514318336,fmr acting cdc director white house offered assurances pence covid risk others debate
109,2020-10-07,1313961934493036546,former secretary state james baker criticizes trump hints might vote november
110,2020-10-07,1313962369245237248,airline workers suffering trump cancels stimulus negotiations petemuntean reports
111,2020-10-07,1313962622195249152,tampa international airport offer covid tests passengers randikayecnn reports
112,2020-10-07,1313969381219729408,go back time five years try convince fiveyearsago self real really pre
113,2020-10-07,1313979312052359169,sen elizabeth warren president trumps behavior following covid diagnosis donald trump proven time
114,2020-10-07,1313979589106991105,fmr wisconsin gov scott walker pres trump working oval office despite covid diagnosis rega
115,2020-10-07,1313980596088123392,president typical commander military unit would relieved duty wou
116,2020-10-07,1313983922666119169,derekjgz answer question explosive would given
117,2020-10-07,1313988100125847555,today marks  years since start americas longest war war afghanistan barbarastarrcnn reports
118,2020-10-08,1314027373923315714,tv head
119,2020-10-08,1314038217629462528,maddowblog deal karen pence walking end mask
120,2020-10-08,1314063663368634368,white house coronavirus outbreak may exposed thousands
121,2020-10-08,1314078224046075906,chrislhayes I remembering next debate town hall format going also expose questioners someone battli
122,2020-10-08,1314078289405898753,jbendery karen pence ignores vice presidential debate rules forgoes mask stage
