,Unnamed: 0,date,id,tweet_text,label
0,0,2020-10-05,1312907856165826565,trump first ran president hard many imagine role dilbert creator,Not Hate
1,1,2020-10-05,1312967247112134656,trishregan left realize secret service always president even hospital room even ho,Hate
2,2,2020-10-05,1313113401120436226,dbongino good luck buddy,Not Hate
3,4,2020-10-05,1313167228897030144,jaltucher feel like need restraining order guy wish would address actual problems gotten,Not Hate
4,5,2020-10-05,1313175357864935425,msm might want look actual stats cdc next time insist realdonaldtrump americ,Not Hate
5,6,2020-10-05,1313181027288920066,mccormickprof idea social tolerance experimentone would also make good reality tv would film volunteer wearin,Not Hate
6,7,2020-10-05,1313181208189308931,rickygervais remembered life insignificant blip eternal void nothingness,Not Hate
7,9,2020-10-05,1313182221503733763,people think answer unelected get away longer,Not Hate
8,10,2020-10-05,1313182313493266432,thebabylonbee monster releases exciting new energy drink infused trump antibodies,Not Hate
9,11,2020-10-05,1313186595324006400,thank mzhemingway need names details seem important missing,Not Hate
10,12,2020-10-05,1313198258290917376,peoples champion,Not Hate
11,13,2020-10-05,1313199780433018880,medias mad trump endangering secret service driving around block oh come onthat,Not Hate
12,14,2020-10-05,1313213198917660676,kaysmythe please read listen share interview reflections tomilahren lavagrants larryoconnor drdrew foxnation r,Not Hate
13,15,2020-10-05,1313222455218106370,great paint expect law enforcement officers come save asses east nash,Hate
14,16,2020-10-05,1313225048367550464,media left know sad die least get sick everyone el,Not Hate
15,17,2020-10-05,1313225883268902912,happy realdonaldtrump flotus join millions around world praying,Not Hate
16,18,2020-10-05,1313227181225635846,cuomo keeps auto correcting clump could also work says last  seconds clip going hav,Not Hate
17,19,2020-10-05,1313227907939160067,know joking nickgillespie billkristol believe free markets touting bide,Not Hate
18,20,2020-10-05,1313229611594125312,vote realdonaldtrump   like alone could vote,Not Hate
19,21,2020-10-05,1313232627143454725,left angry donald trump spent less time hospitalized coronavirus joe biden spent locke,Not Hate
20,22,2020-10-05,1313239590938062848,trump wartime president like general gets wounded invisible enemy gets patched,Not Hate
21,23,2020-10-05,1313241710714064896,special announcement emma baby way,Not Hate
22,24,2020-10-05,1313252444290375681,johnnyjoey man alive today relentless work men women saving lives hell blin,Not Hate
23,25,2020-10-05,1313260178586902528,hmm wonder new york times realize black bloc organized often violent insurrectionary,Not Hate
24,26,2020-10-05,1313261863573037056,great resilient recovery made potus realdonaldtrump shows need reopen count,Not Hate
25,27,2020-10-06,1313307568572379139,get ready libs winning beginning final thoughts,Not Hate
26,28,2020-10-06,1313312828670046208,might well carry purse mask joe,Not Hate
27,29,2020-10-06,1313321294709043200,susanshelley parody really office governor state california dining keep,Not Hate
28,30,2020-10-06,1313521167601405956,thanks much,Not Hate
29,31,2020-10-06,1313524188469178369,point honestly think joebiden wants president bad self sabotage,Not Hate
30,32,2020-10-06,1313545937566998535,going cower covid yes take precautions americans let fear control lives,Not Hate
31,34,2020-10-06,1313577438409097217,blazetv new report said   people worldwide likely infected covid true death rate th,Not Hate
32,35,2020-10-06,1313580348144402432,paging johncoopernash,Not Hate
33,36,2020-10-06,1313598032370425857,joe biden take socialist primaries socialist took left thefive,Not Hate
34,37,2020-10-06,1313599917231808512,positive american spirit leftit exist running agai,Not Hate
35,38,2020-10-06,1313602433080156160,kamala answered questions policy last two months well prepared,Not Hate
36,39,2020-10-06,1313605002250850305,ajwimsatt greggutfelds excellent tribute eddie van halen thefive rip eddie,Not Hate
37,40,2020-10-06,1313620803993378816,days comfortable religious person quickly coming end world call faithfulness,Not Hate
38,42,2020-10-07,1313880442634997762,comicdavesmith finally getting specific policy,Not Hate
39,43,2020-10-07,1313881021889347584,timrunshismouth someone taught katie hill two factor authentication something try husband,Not Hate
40,44,2020-10-07,1313881256350941184,look aoc going true patriot cawthornfornc ready fight freedom coming way,Not Hate
41,45,2020-10-07,1313904984405270531,join aoc tonight,Not Hate
42,46,2020-10-07,1313906443591000066,conservmillen stevedeaceshow rubinreport donaldjtrumpjr also joining debate,Not Hate
43,47,2020-10-07,1313908071505317897,jimmyfailla best protrump ad I ever seen,Not Hate
44,48,2020-10-07,1313935789710028811,realdonaldtrump authorizing declassification documents related russia probe hillary clintons,Not Hate
45,49,2020-10-07,1313941269262069761,check amazing new podcast legendary chilly gonzales awesome,Not Hate
46,50,2020-10-07,1313962307307868160,kamala harris liked many democrats primaries expect liked many americans wa,Not Hate
47,51,2020-10-07,1313963562830757888,washington saying  trillion dollars much get accused high drugs thefive,Not Hate
48,52,2020-10-07,1313964821348446209,devious effective political smear campaign modern american history thefive,Not Hate
49,53,2020-10-07,1313984954317991936,please realize division america think vast majority americans sides,Not Hate
50,54,2020-10-07,1313988892761174018,bailouts blue states refuse reopen,Not Hate
51,55,2020-10-08,1313998556961951745,wonder ask kamala still thinks biden racist,Not Hate
52,56,2020-10-08,1313999963198754822,wonder ask kamala covered catholic clergy sexual abuse da,Not Hate
53,57,2020-10-08,1314001486381281285,richardgrenell famous sings men choses turn losers,Not Hate
54,58,2020-10-08,1314002564304830470,wonder ask kamala proud jacob blake  la deputies shot face ambush state ca,Not Hate
55,59,2020-10-08,1314004757942468610,standing behind plexiglass tonights post vpdebate analysis stand behind plexiglass tune find,Not Hate
56,60,2020-10-08,1314008386531463170,wonder ask kamala banking potus since already refers harris admin,Not Hate
57,61,2020-10-08,1314008969015418880,look californiaif kamala worth damn state would crap hole committed,Hate
58,62,2020-10-08,1314009434826432512,wonder ask kamala boasted smoking weed listening tupac tupac put record,Not Hate
59,63,2020-10-08,1314009544310304770,democrats elected infringements continue,Not Hate
60,64,2020-10-08,1314009724736737280,never forget trump closed travel land china virus dems called racist,Not Hate
61,65,2020-10-08,1314009841623588867,never forget democrats still focused witch hunt china virus popping,Hate
62,66,2020-10-08,1314010024390340611,kamala answer questionare going lockdown shutdown mask mandate answer question,Not Hate
63,67,2020-10-08,1314010480067915777,kamala would answer question harris admin continue lockdowns shutdowns national mask,Not Hate
64,68,2020-10-08,1314010768229175296,amazing dig mike hahaha,Not Hate
65,69,2020-10-08,1314010988845334529,serious want dems want ban travel china,Not Hate
66,70,2020-10-08,1314011134467375104,guys still want students go back people go back work,Not Hate
67,71,2020-10-08,1314011586131103751,guess people going get virus fact matter lock forever,Not Hate
68,72,2020-10-08,1314011662375100418,democrats trust americans think need controlled like sheep,Not Hate
